0.000000
0.000000
0.990099
-----
inc[0] = 0.000000e+00, dec[0] = 0.000000e+00
inc[1] = 0.000000e+00, dec[1] = 0.000000e+00
inc[2] = 0.000000e+00, dec[2] = 0.000000e+00
inc[3] = 0.000000e+00, dec[3] = 0.000000e+00
inc[4] = 0.000000e+00, dec[4] = 0.000000e+00
inc[5] = 0.000000e+00, dec[5] = 0.000000e+00
inc[6] = 0.000000e+00, dec[6] = 0.000000e+00
inc[7] = 0.000000e+00, dec[7] = 0.000000e+00
inc[8] = 0.000000e+00, dec[8] = 0.000000e+00
inc[9] = 0.000000e+00, dec[9] = 0.000000e+00
inc[10] = 0.000000e+00, dec[10] = 0.000000e+00
inc[11] = 0.000000e+00, dec[11] = 0.000000e+00
inc[12] = 0.000000e+00, dec[12] = 0.000000e+00
inc[13] = 0.000000e+00, dec[13] = 0.000000e+00
inc[14] = 0.000000e+00, dec[14] = 0.000000e+00
inc[15] = 0.000000e+00, dec[15] = 0.000000e+00
inc[16] = 0.000000e+00, dec[16] = 0.000000e+00
inc[17] = 0.000000e+00, dec[17] = 0.000000e+00
inc[18] = 0.000000e+00, dec[18] = 0.000000e+00
inc[19] = 0.000000e+00, dec[19] = 0.000000e+00
inc[20] = 0.000000e+00, dec[20] = 0.000000e+00
inc[21] = 0.000000e+00, dec[21] = 0.000000e+00
inc[22] = 0.000000e+00, dec[22] = 0.000000e+00
inc[23] = 0.000000e+00, dec[23] = 0.000000e+00
inc[24] = 0.000000e+00, dec[24] = 0.000000e+00
inc[25] = 0.000000e+00, dec[25] = 0.000000e+00
inc[26] = 0.000000e+00, dec[26] = 0.000000e+00
inc[27] = 0.000000e+00, dec[27] = 0.000000e+00
inc[28] = 0.000000e+00, dec[28] = 0.000000e+00
inc[29] = 0.000000e+00, dec[29] = 0.000000e+00
inc[30] = 0.000000e+00, dec[30] = 0.000000e+00
inc[31] = 0.000000e+00, dec[31] = 0.000000e+00
inc[32] = 0.000000e+00, dec[32] = 0.000000e+00
inc[33] = 0.000000e+00, dec[33] = 0.000000e+00
inc[34] = 0.000000e+00, dec[34] = 0.000000e+00
inc[35] = 0.000000e+00, dec[35] = 0.000000e+00
inc[36] = 0.000000e+00, dec[36] = 0.000000e+00
inc[37] = 0.000000e+00, dec[37] = 0.000000e+00
inc[38] = 0.000000e+00, dec[38] = 0.000000e+00
inc[39] = 0.000000e+00, dec[39] = 0.000000e+00
inc[40] = 0.000000e+00, dec[40] = 0.000000e+00
inc[41] = 0.000000e+00, dec[41] = 0.000000e+00
inc[42] = 0.000000e+00, dec[42] = 0.000000e+00
inc[43] = 0.000000e+00, dec[43] = 0.000000e+00
inc[44] = 0.000000e+00, dec[44] = 0.000000e+00
inc[45] = 0.000000e+00, dec[45] = 0.000000e+00
inc[46] = 0.000000e+00, dec[46] = 0.000000e+00
inc[47] = 0.000000e+00, dec[47] = 0.000000e+00
inc[48] = 0.000000e+00, dec[48] = 0.000000e+00
inc[49] = 0.000000e+00, dec[49] = 0.000000e+00
inc[50] = 0.000000e+00, dec[50] = 0.000000e+00
inc[51] = 0.000000e+00, dec[51] = 0.000000e+00
inc[52] = 0.000000e+00, dec[52] = 0.000000e+00
inc[53] = 0.000000e+00, dec[53] = 0.000000e+00
inc[54] = 0.000000e+00, dec[54] = 0.000000e+00
inc[55] = 0.000000e+00, dec[55] = 0.000000e+00
inc[56] = 0.000000e+00, dec[56] = 0.000000e+00
inc[57] = 0.000000e+00, dec[57] = 0.000000e+00
inc[58] = 0.000000e+00, dec[58] = 0.000000e+00
inc[59] = 0.000000e+00, dec[59] = 0.000000e+00
inc[60] = 0.000000e+00, dec[60] = 0.000000e+00
inc[61] = 0.000000e+00, dec[61] = 0.000000e+00
inc[62] = 0.000000e+00, dec[62] = 0.000000e+00
inc[63] = 0.000000e+00, dec[63] = 0.000000e+00
inc[64] = 0.000000e+00, dec[64] = 0.000000e+00
inc[65] = 0.000000e+00, dec[65] = 0.000000e+00
inc[66] = 0.000000e+00, dec[66] = 0.000000e+00
inc[67] = 0.000000e+00, dec[67] = 0.000000e+00
inc[68] = 0.000000e+00, dec[68] = 0.000000e+00
inc[69] = 0.000000e+00, dec[69] = 0.000000e+00
inc[70] = 0.000000e+00, dec[70] = 0.000000e+00
inc[71] = 0.000000e+00, dec[71] = 0.000000e+00
inc[72] = 0.000000e+00, dec[72] = 0.000000e+00
inc[73] = 0.000000e+00, dec[73] = 0.000000e+00
inc[74] = 0.000000e+00, dec[74] = 0.000000e+00
inc[75] = 0.000000e+00, dec[75] = 0.000000e+00
inc[76] = 0.000000e+00, dec[76] = 0.000000e+00
inc[77] = 0.000000e+00, dec[77] = 0.000000e+00
inc[78] = 0.000000e+00, dec[78] = 0.000000e+00
inc[79] = 0.000000e+00, dec[79] = 0.000000e+00
inc[80] = 0.000000e+00, dec[80] = 0.000000e+00
inc[81] = 0.000000e+00, dec[81] = 0.000000e+00
inc[82] = 0.000000e+00, dec[82] = 0.000000e+00
inc[83] = 0.000000e+00, dec[83] = 0.000000e+00
inc[84] = 0.000000e+00, dec[84] = 0.000000e+00
inc[85] = 0.000000e+00, dec[85] = 0.000000e+00
inc[86] = 0.000000e+00, dec[86] = 0.000000e+00
inc[87] = 0.000000e+00, dec[87] = 0.000000e+00
inc[88] = 0.000000e+00, dec[88] = 0.000000e+00
inc[89] = 0.000000e+00, dec[89] = 0.000000e+00
inc[90] = 0.000000e+00, dec[90] = 0.000000e+00
inc[91] = 0.000000e+00, dec[91] = 0.000000e+00
inc[92] = 0.000000e+00, dec[92] = 0.000000e+00
inc[93] = 0.000000e+00, dec[93] = 0.000000e+00
inc[94] = 0.000000e+00, dec[94] = 0.000000e+00
inc[95] = 0.000000e+00, dec[95] = 0.000000e+00
inc[96] = 0.000000e+00, dec[96] = 0.000000e+00
inc[97] = 0.000000e+00, dec[97] = 0.000000e+00
inc[98] = 0.000000e+00, dec[98] = 0.000000e+00
inc[99] = 0.000000e+00, dec[99] = 0.000000e+00
t = 9.900990e-01
conclusive_inc_error = -9.900990e-01
conclusive_inc_error = -9.900990e-01
